Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,52523,262061,511,178220,4002046,2000
5,58658,3000089,1732,199121,44847039,6696
10,52540,316483,562,178302,5132784,2265
15,52769,272116,521,179078,4149143,2036
20,52637,289888,538,178609,4435953,2106
25,55375,85760581,9260,187934,1010234559,31784
30,52546,271078,520,178316,4398165,2097
35,52287,269740,519,177463,4615571,2148
40,52610,323332,568,178540,5023389,2241
45,55430,87075376,9331,188049,1013546215,31836
50,52365,261870,511,177770,5274232,2296
55,52489,317394,563,178147,5263705,2294
60,52496,303558,550,178141,4501324,2121
65,53885,25127833,5012,182896,304761468,17457
70,54814,67640089,8224,186014,794368168,28184
75,54917,70204428,8378,186361,825782026,28736
80,246797,341773675499,584614,837286,3932504825951,1983054
85,294343,512767526213,716077,998581,5900155915257,2429023
90,52907,16273,127,179706,146899,383
95,89852,12227019472,110575,305168,140760008437,375179
100,10995800,58498955,7648,37300414,643466933,25366
