Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,65157,12806701,3578,222229,150376628,12262
5,58870,23279668,4824,200409,275927134,16611
10,56347,81067665,9003,191381,953127213,30872
15,56522,79530507,8917,192069,933933270,30560
20,56365,82893475,9104,191546,974567394,31218
25,53542,915223,956,181900,10070237,3173
30,53370,75154,274,181284,1080609,1039
35,291093,507706857084,712535,987745,5843660179956,2417366
40,55624,86266767,9287,188804,1005428536,31708
45,55936,86019259,9274,189923,1002816317,31667
50,56534,87398741,9348,192010,1020562172,31946
55,305532,560227429789,748483,1036600,6446218402967,2538940
60,53350,3808667,1951,181180,47179915,6868
65,55712,68766162,8292,189214,811537707,28487
70,55483,70690385,8407,188373,824983355,28722
75,53320,13950353,3735,180925,167236970,12932
80,175086,129302185438,359586,593993,1488796900695,1220162
85,285289,476428064978,690237,967777,5482181089646,2341405
90,504683,813121340282,901732,1711958,9355703680643,3058709
95,705377,994998807343,997496,2392856,11449076845017,3383648
100,12091879,87309993073,295482,41018209,1005162834967,1002578
